_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
22608                           017 "Vitenskap"
22609                           014 "Tekst"
22610                           018 "Valuta"
23000                           013 "Topp"
23001                           016 "I midten"
23002                           016 "Bunn"
23003                           016 "Del opp"
23010                           014 "Venstre"
23011                           016 "I midten"
23012                           015 "Høyre"
23013                           016 "Del opp"
23020                           015 "Over"
23021                           015 "Under"
23022                           020 "Optimal bredde"
23023                           016 "I midten"
23024                           021 "Indre basis"
23025                           020 "Indre slutt"
23026                           014 "Venstre"
23027                           015 "Blandet"
23028                           021 "Ytre slutt"
23029                           015 "Høyre"
23030                           031 "Formater akseetikett..."
23031                           032 "Formater diagramtittel..."
23032                           027 "Formater akseetikett"
23033                           028 "Formater diagramtittel..."
23034                           016 "Lineær"
23035                           021 "Logaritmisk"
23036                           019 "Potensiell"
23037                           021 "Eksponentiell"
23038                           024 "Glidende gjennomsnitt"
23039                           019 "Behandle tekst"
23040                           019 "Automatisk"
23041                           017 "Minimum"
23042                           017 "Maksimum"
23043                           016 "Brukerdefinert"
23050                           017 "Stolper"
23051                           014 "Ligg. st."
23052                           015 "Linjer"
23053                           017 "Profil"
23054                           014 "Sektordiagr."
23055                           022 "XY (spredning)"
23056                           014 "Areal"
23057                           018 "Ring"
23058                           015 "Radar"
23059                           019 "Portefølje:"
23060                           015 "Kurs"
23061                           017 "Arealer"
23062                           018 "Sylinder"
23063                           014 "Kjegle"
23064                           017 "Pyramide"
23065                           019 "Milepæl"
23066                           015 "Nivåer"
23067                           019 "Histogram"
23068                           020 "Takometer"
23069                           018 "Kvadrant"
23070                           024 "Ligg. st. m/4 farger"
23090                           014 "Data"
23091                           020 "Forklaringssymbol"
24000                           018 "Posisjon"
24001                           015 "Verdi"
24002                           017 "Prosentsats"
25100                           018 "3D-perspektiv"
25103                           021 "Betraktningshøyde:"
25107                           023 "Perspektiv:"
25111                           020 "Rotasjon:"
25113                           023 "Autoskalering"
25114                           027 "Rettvinklede akser"
25115                           018 "Høyde:"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "Justering"
25201                           024 "Tekstjustering"
25202                           022 "Horisontal:"
25204                           020 "Vertikal:"
25206                           020 "Posisjon:"
25208                           021 "Justering"
25300                           014 "Akser"
25301                           022 "Primærakse"
25302                           029 "Rubrikkakse (X)"
25303                           026 "Verdiakse (Y)"
25304                           027 "Serieakse (Z)"
25305                           024 "Sekundærakse"
25306                           029 "Rubrikkakse (X)"
25307                           025 "Verdiakse (Y)"
25400                           019 "Justering"
25401                           021 "Justering"
25500                           014 "Linje"
25501                           014 "Linje"
25502                           020 "Automatisk"
25503                           016 "Brukerdefinert"
25504                           017 "Type:"
25506                           017 "Farge:"
25508                           030 "Aksemerketype på hovedskala"
25509                           015 "Uten"
25510                           016 "Innvendig"
25511                           017 "Utvendig"
25512                           015 "På kryss"
25513                           030 "Aksemerketype på delskala"
25514                           015 "Uten"
25515                           016 "Innvendig"
25516                           017 "Utvendig"
25517                           015 "På kryss"
25518                           026 "Aksemerkeetik. på delskala"
25519                           015 "Uten"
25520                           013 "Lav"
25521                           014 "Høy"
25522                           022 "Ved aksen"
25523                           016 "Forhåndsvisning"
25600                           014 "Akser"
25601                           024 "Dataserien relaterer til"
25602                           023 "Primærakse"
25603                           025 "Sekundærakse"
25700                           019 "Feilindikator"
25701                           017 "Vis"
25703                           022 "Feilbeløp"
25704                           023 "Konstand verdi:"
25705                           021 "Prosentverdi:"
25706                           029 "Standardavvik:"
25707                           024 "Standardfeil:"
25708                           017 "Tilpass:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Linjer i rutenett"
25801                           028 "Rubrikkakse (X)"
25802                           026 "Hovedrutenett"
25803                           026 "Hjelperutenett"
25804                           025 "Verdiakse (Y)"
25805                           026 "Hovedrutenett"
25806                           026 "Hjelperutenett"
25807                           026 "Serieakse (Z)"
25808                           026 "Hovedrutenett"
25809                           026 "Hjelperutenett"
25810                           028 "Rubrikkakse (X)"
25811                           026 "Hovedrutenett"
25812                           026 "Hjelperutenett"
25813                           025 "Verdiakse (Y)"
25814                           026 "Hovedrutenett"
25815                           026 "Hjelperutenett"
25816                           022 "Primærakse"
25817                           024 "Sekundærakse"
25900                           014 "Linje"
25901                           020 "Automatisk"
25902                           017 "Brukerdefinert"
25903                           014 "Linje"
25904                           017 "Type:"
25906                           017 "Farge:"
25908                           016 "Forhåndsvisning"
25909                           016 "Støttepunkt"
26000                           021 "Dataetiketter"
26001                           021 "Dataetiketter"
26002                           015 "Ingen"
26003                           020 "Vis verdi"
26004                           022 "Vis prosent"
26005                           020 "Vis etikett"
26006                           032 "Vis etikett og prosent"
26007                           026 "Vis boblestørrelse"
26009                           030 "Vis etikett og verdi"
26010                           029 "Vis X- og Y-verdi"
26011                           036 "Vis etikett og boblestørrelse"
26100                           016 "Forklaring"
26101                           014 "Type"
26103                           027 "Referansebobler"
26104                           018 "Vis"
26105                           024 "Maksimal størrelse:"
26108                           019 "Pos./str kan endres"
26109                           025 "Skjult"
26200                           014 "Linje"
26201                           014 "Linje"
26202                           020 "Automatisk"
26203                           017 "Brukerdefinert"
26204                           017 "Type:"
26206                           017 "Farge:"
26208                           017 "Glatt"
26209                           016 "Merking"
26210                           020 "Automatisk"
26211                           015 "Ingen"
26212                           017 "Brukerdefinert"
26213                           017 "Type:"
26215                           022 "I forgrunnen:"
26217                           022 "Bakgrunn:"
26219                           016 "Størrelse"
26222                           016 "Forhåndsvisning"
26223                           016 "Topp:"
26226                           016 "Størrelse:"
26227                           017 "Tykkelse:"
26300                           016 "Betal"
26301                           020 "Kategori:"
26303                           026 "Tallformater:"
26305                           016 "Forhåndsvisning"
26306                           016 "Statisk"
26307                           025 "Tallformater:"
26400                           015 "Form"
26401                           017 "Former:"
26500                           017 "Mal"
26501                           014 "Fyll ut"
26502                           020 "Automatisk"
26503                           016 "Farge"
26504                           018 "Mal"
26505                           019 "Fargeskala"
26506                           018 "Struktur"
26507                           016 "Statisk"
26509                           016 "Statisk"
26511                           016 "Statisk"
26513                           022 "3D-effekter"
26514                           016 "Ramme"
26515                           020 "Automatisk"
