_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
23050                           017 "Стовпчики"
23051                           014 "Смуги"
23052                           015 "Рядки"
23053                           017 "Профіль"
23054                           014 "Кола"
23055                           022 "XY (розкид)"
23056                           014 "Область"
23057                           018 "Коло"
23058                           015 "Пелюстки"
23059                           019 "Портфель"
23060                           015 "Фонд"
23061                           017 "Поверхня"
23062                           018 "Циліндр"
23063                           014 "Конус"
23064                           017 "Піраміда"
23065                           019 "Етап"
23066                           015 "Кроки"
23067                           019 "Гістограма"
23068                           020 "Тахометр"
23069                           018 "Квадрант"
23070                           024 "Багатокольорові смуги"
23090                           014 "Дані"
23091                           020 "Ключ легенди"
24000                           018 "Позиція"
24001                           015 "Значення"
24002                           017 "Відсоток"
25100                           018 "Тривимірне подання"
25103                           021 "&Підняття:"
25107                           023 "&Перспектива:"
25111                           020 "&Обертання:"
25113                           023 "&Автомасштабування"
25114                           027 "&Вісь із правим кутом"
25115                           018 "&Висота:"
25118                           011 "%"
25119                           018 "&Усталений"
25200                           019 "Вирівнювання"
25201                           024 "Вирівнювання тексту"
25202                           022 "&Горизонтально:"
25204                           020 "&Вертикально:"
25206                           020 "&Позиція:"
25208                           021 "Орієнтація"
25300                           014 "Осі"
25301                           022 "Первинна вісь"
25302                           029 "&Вісь (X) категорій"
25303                           026 "&Вісь (Y) значень"
25304                           027 "&Вісь (Z) рядів"
25305                           024 "Вторинна вісь"
25306                           029 "&Вісь (X) категорій"
25307                           025 "&Вісь (Y) значень"
25400                           019 "Вирівнювання"
25401                           021 "Орієнтація"
25500                           014 "Лінія"
25501                           014 "Лінія"
25502                           020 "&Автоматично"
25503                           016 "Користувацький"
25504                           017 "&Стиль:"
25506                           017 "&Колір:"
25508                           030 "Тип основної позначки"
25509                           015 "&Жоден"
25510                           016 "Усередині"
25511                           017 "Зовні"
25512                           015 "Поперек"
25513                           030 "Тип вторинної позначки"
25514                           015 "&Жоден"
25515                           016 "Усередині"
25516                           017 "Зовні"
25517                           015 "Поперек"
25518                           026 "Підписи позначок"
25519                           015 "&Жоден"
25520                           013 "Низький"
25521                           014 "Високий"
25522                           022 "Поруч з осями"
25523                           016 "Зразок"
25600                           014 "Осі"
25601                           024 "Креслення рядів на"
25602                           023 "&Первинна вісь"
25603                           025 "&Вторинна вісь"
25700                           019 "Смуга помилок"
25701                           017 "Відобразити"
25703                           022 "Кількість помилок"
25704                           023 "&Фіксоване значення:"
25705                           021 "Відсоткове значення:"
25706                           029 "Стандартне відхилення:"
25707                           024 "Стандартна помилка"
25708                           017 "Налаштування:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Лін.сітки"
25801                           028 "Вісь (X) категорій"
25802                           026 "&Основні лінії сітки"
25803                           026 "&Вторинні лінії сітки"
25804                           025 "Вісь (Y) значень"
25805                           026 "&Основні лінії сітки"
25806                           026 "&Вторинні лінії сітки"
25807                           026 "Вісь (Z) рядів"
25808                           026 "&Основні лінії сітки"
25809                           026 "&Вторинні лінії сітки"
25810                           028 "Вісь (X) категорій"
25811                           026 "&Основні лінії сітки"
