_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
25518                           026 "תוויות סימון משני"
25519                           015 "אף אחד"
25520                           013 "נמוך"
25521                           014 "גבוה"
25522                           022 "סמוך לציר"
25523                           016 "דגימה"
25600                           014 "צירים"
25601                           024 "שרטוט סדרות על"
25602                           023 "ציר ראשי"
25603                           025 "ציר משני"
25700                           019 "סרגל שגיאות"
25701                           017 "הצג"
25703                           022 "סכום שגיאה"
25704                           023 "ערך קבוע:"
25705                           021 "אחוז:"
25706                           029 "סטיית תקן:"
25707                           024 "טעות תקן"
25708                           017 "מותאם:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "קווי-רשת"
25801                           028 "ציר (X) של קטגוריה"
25802                           026 "קווי רשת עיקריים"
25803                           026 "קווי רשת משניים"
25804                           025 "ציר ערך (Y)"
25805                           026 "קווי רשת עיקריים"
25806                           026 "קווי רשת משניים"
25807                           026 "ציר סדרה (Z)"
25808                           026 "קווי רשת עיקריים"
25809                           026 "קווי רשת משניים"
25810                           028 "ציר (X) של קטגוריה"
25811                           026 "קווי רשת עיקריים"
25812                           026 "קווי רשת משניים"
25813                           025 "ציר ערך (Y)"
25814                           026 "קווי רשת עיקריים"
25815                           026 "קווי רשת משניים"
25816                           022 "ציר מרכזי"
25817                           024 "ציר משני"
25900                           014 "שורה"
25901                           020 "אוטומטי"
25902                           017 "&מותאם"
25903                           014 "שורה"
25904                           017 "סגנון:"
25906                           017 "צבע:"
25908                           016 "דגימה"
25909                           016 "סמן"
26000                           021 "תוויות נתונים"
26001                           021 "תוויות נתונים"
26002                           015 "כלום"
26003                           020 "הצג ערך"
26004                           022 "הצג אחוזים"
26005                           020 "הצג תווית"
26006                           032 "הצג תווית ואחוזים"
26007                           026 "הצג גודל Bubble"
26009                           030 "הצג תווית וערך"
26010                           029 "הצג ערכי X ו-Y"
